MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
cooking class file with attachments sent from angela between may 5 and may 20	FILES	<keyword> cooking class </keyword>  file  with <attachment> attachments </attachment> sent from <contact_name_from> angela </contact_name_from> between <start_date> may 5 </start_date> and <end_date> may 20 </end_date>	search_email
file from july with presentations attachments	FILES	 file  from <start_date> july </start_date> with <attachment_type> presentations </attachment_type> <attachment> attachments </attachment>	search_email
file received from sylvia with attachment	FILES	 file  received from <contact_name_from> sylvia </contact_name_from> with <attachment> attachment </attachment>	search_email
files from robert to cora with attachment	FILES	 files  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> with <attachment> attachment </attachment>	search_email
search for message from paul to riley with fall trip itinerary attachment	FILES	search for message from <contact_name_from> paul </contact_name_from> to <contact_name_to> riley </contact_name_to> with <keyword> fall trip itinerary </keyword> <attachment> attachment </attachment>	search_email
file from bob with attachments about party	FILES	 file  from <contact_name_from> bob </contact_name_from> with <attachment> attachments </attachment> about <keyword> party </keyword>	search_email
from malik with ppt attachment	FILES	from <contact_name_from> malik </contact_name_from> with <attachment_type> ppt </attachment_type> <attachment> attachment </attachment>	search_email
show me my recent files that have attachments linked	FILES	show me my <order_ref> recent </order_ref>  files  that have <attachment> attachments </attachment> linked	search_email
files with attachment about credit card receipts from brenda	FILES	 files  with <attachment> attachment </attachment> about <keyword> credit card receipts </keyword> from <contact_name_from> brenda </contact_name_from>	search_email
from lia pptx attachment	FILES	from <contact_name_from> lia </contact_name_from> <attachment_type> pptx </attachment_type> <attachment> attachment </attachment>	search_email
show me files with attachments from may	FILES	show me  files  with <attachment> attachments </attachment> from <start_date> may </start_date>	search_email
files stan sent me with some attachments	FILES	 files  <contact_name_from> stan </contact_name_from> sent me with some <attachment> attachments </attachment>	search_email
find attachment from christen slides	FILES	find <attachment> attachment </attachment> from <contact_name_from> christen </contact_name_from> <attachment_type> slides </attachment_type>	search_email
to gina with attachment png	FILES	to <contact_name_to> gina </contact_name_to> with <attachment> attachment </attachment> <attachment_type> png </attachment_type>	search_email
any files with attachments about movies dated in may	FILES	any  files  with <attachment> attachments </attachment> about <keyword> movies </keyword> dated in <start_date> may </start_date>	search_email
attachments in files	FILES	<attachment> attachments </attachment> in  files 	search_email
office party attachments from last tuesday	FILES	<keyword> office party </keyword> <attachment> attachments </attachment> from <start_date> last tuesday </start_date>	search_email
from cindy attachment spreadsheets	FILES	from <contact_name_from> cindy </contact_name_from> <attachment> attachment </attachment> <attachment_type> spreadsheets </attachment_type>	search_email
files on vacation with attachment	FILES	 files  on <keyword> vacation </keyword> with <attachment> attachment </attachment>	search_email
excel was included on attachment	FILES	<attachment_type> excel </attachment_type> was included on <attachment> attachment </attachment>	search_email
to jim attachment funny meme	FILES	to <contact_name_to> jim </contact_name_to> <attachment> attachment </attachment> <keyword> funny meme </keyword>	search_email
attachment to tulsi	FILES	<attachment> attachment </attachment> to <contact_name_to> tulsi </contact_name_to>	search_email
to john onenotes attachments	FILES	to <contact_name_to> john </contact_name_to> <attachment_type> onenotes </attachment_type> <attachment> attachments </attachment>	search_email
files with attachments please	FILES	 files  with <attachment> attachments </attachment> please	search_email
files from jo this week with attachment	FILES	 files  from <contact_name_from> jo </contact_name_from> <start_date> this week </start_date> with <attachment> attachment </attachment>	search_email
closing cost paper attachment	FILES	<keyword> closing cost paper </keyword> <attachment> attachment </attachment>	search_email
george files with attachment	FILES	<contact_name> george </contact_name>  files  with <attachment> attachment </attachment>	search_email
attachments to nancy	FILES	<attachment> attachments </attachment> to <contact_name_to> nancy </contact_name_to>	search_email
attachment file about math homework	FILES	<attachment> attachment </attachment>  file  about <keyword> math homework </keyword>	search_email
find jims file attachment	FILES	find <contact_name> jim </contact_name> s  file  <attachment> attachment </attachment>	search_email
files from july with excels attachments	FILES	 files  from <start_date> july </start_date> with <attachment_type> excels </attachment_type> <attachment> attachments </attachment>	search_email
find file for ppt attachments	FILES	find  file  for <attachment_type> ppt </attachment_type> <attachment> attachments </attachment>	search_email
show me file from jon with attachments last week	FILES	show me  file  from <contact_name_from> jon </contact_name_from> with <attachment> attachments </attachment> <start_date> last week </start_date>	search_email
